price,area_m2,bedrooms,bathrooms,parking,price/m2,neighborhood
191500,61,3,1,1,3139.34,PASSARE
191500,61,3,2,1,3139.34,PASSARE
435000,89,3,2,2,4887.64,COCO
230555,58,3,2,2,3975.09,PASSARE
232965,58,3,2,2,4016.64,PASSARE
320000,122,3,4,1,2622.95,JOAQUIM TAVORA
319999,103,4,3,1,3106.79,MEIRELES
198999,50,2,2,1,3979.98,PASSARE
590000,96,3,3,2,6145.83,COCO
650000,163,3,4,2,3987.73,ALDEOTA
240000,108,3,3,1,2222.22,PAPICU
420000,118,3,2,2,3559.32,FATIMA
530000,190,3,3,2,2789.47,MEIRELES
500000,76,3,3,2,6578.95,ENG LUCIANO CAVALCANTE
595000,94,3,3,2,6329.79,PARQUELANDIA
460000,164,3,2,1,2804.88,MEIRELES
395000,65,3,2,2,6076.92,DE LOURDES
480000,128,3,1,2,3750.0,ALDEOTA
220000,63,3,2,1,3492.06,MARAPONGA
499000,151,3,4,2,3304.64,DIONISIO TORRES
540000,119,3,4,2,4537.82,PAPICU
730000,97,3,3,2,7525.77,FATIMA
150000,67,3,2,2,2238.81,LAGOA REDONDA
784000,83,3,2,2,9445.78,COCO
260000,102,2,3,1,2549.02,ALDEOTA
260000,102,4,3,1,2549.02,ALDEOTA
618999,120,4,4,3,5158.32,PATRIOLINO RIBEIRO
725000,130,3,2,2,5576.92,PAPICU
345000,104,2,3,1,3317.31,MEIRELES
510000,171,3,4,2,2982.46,JOAQUIM TAVORA
479999,130,4,4,2,3692.3,DIONISIO TORRES
470000,109,3,5,2,4311.93,COCO
220000,105,3,1,1,2095.24,PARANGABA
589999,130,4,4,2,4538.45,DIONISIO TORRES
248000,72,3,1,1,3444.44,DAMAS
319999,60,2,2,3,5333.32,PARQUE IRACEMA
720000,130,3,4,2,5538.46,PAPICU
474999,119,4,4,2,3991.59,PAPICU
680000,93,3,4,2,7311.83,DIONISIO TORRES
225000,64,2,2,2,3515.62,MARAPONGA
600000,124,3,3,2,4838.71,VARJOTA
280000,92,3,3,1,3043.48,FATIMA
465000,74,3,3,2,6283.78,MUCURIPE
340000,72,2,3,2,4722.22,ENG LUCIANO CAVALCANTE
480000,107,3,4,2,4485.98,PATRIOLINO RIBEIRO
350000,117,3,3,1,2991.45,PAPICU
550000,160,3,1,2,3437.5,MEIRELES
599999,115,4,4,2,5217.38,PARQUE IRACEMA
650000,175,3,4,2,3714.29,MEIRELES
300000,82,3,2,1,3658.54,PAPICU
290000,143,3,1,2,2027.97,COCO
400000,130,3,3,2,3076.92,DIONISIO TORRES
540000,125,3,3,2,4320.0,VARJOTA
160000,65,3,1,2,2461.54,PASSARE
837000,111,3,3,3,7540.54,ALDEOTA
245000,93,3,2,1,2634.41,PARQUELANDIA
450000,81,3,3,2,5555.56,EDSON QUEIROZ
260000,67,3,2,2,3880.6,MARAPONGA
340000,88,3,3,1,3863.64,COCO
315000,62,2,2,1,5080.65,PRAIA DE IRACEMA
274900,68,3,2,2,4042.65,COCO
450000,80,3,3,1,5625.0,MUCURIPE
216000,60,3,2,1,3600.0,CIDADE DOS FUNCIONARIOS
784364,79,3,3,2,9928.66,MEIRELES
